"Covariate","All Companies","AllInd_T","AllInd_P","Top 100 Companies","Top100_T","Top100_P"
"Intercept",-0.769034993158539,-85.058692388408,0,-0.747943821004936,-85.058692388408,0
"Is_Industry",0.360185787064604,12.0887072102496,1.21178487048843e-33,NA,NA,NA
"Is_Top100_Industry",NA,NA,NA,0.701531779241028,12.0887072102496,1.73259381892339e-24
