"Covariate","All Companies","AllInd_T","AllInd_P","Top 100 Companies","Top100_T","Top100_P"
"Intercept",-0.839409603585042,-112.512930127433,0,-0.821272789513904,-112.512930127433,0
"Is_Industry",0.430560397492999,14.6677380245861,1.03746275512625e-48,NA,NA,NA
"Is_Top100_Industry",NA,NA,NA,0.774860747750593,14.6677380245861,1.19858742678486e-29
