"Covariate","All Companies","AllInd_T","AllInd_P","Top 100 Companies","Top100_T","Top100_P"
"Intercept",-0.759954616892463,-83.9871148811372,0,-0.732334456644359,-83.9871148811372,0
"Is_Industry",0.34453792448197,12.9088501816041,4.01247795842077e-38,NA,NA,NA
"Is_Top100_Industry",NA,NA,NA,0.686768487830693,12.9088501816041,6.04878139055223e-24
