"Covariate","All Companies","AllInd_T","AllInd_P","Top 100 Companies","Top100_T","Top100_P"
"Intercept",-1.02810044845587,-163.763942133672,0,-1.0021810325091,-163.763942133672,0
"Is_Industry",0.612683756047425,23.6718608377361,7.03008430320646e-124,NA,NA,NA
"Is_Top100_Industry",NA,NA,NA,0.956615063695117,23.6718608377361,3.22798562336383e-45
